Len	LD
39	1.0
64	1.0
120	1.0
397	1.0
483	1.0
1003	1.0
1108	1.0
1165	1.0
1190	1.0
1258	1.0
1489	1.0
1516	1.0
2293	1.0
2846	1.0
3014	1.0
3928	1.0
3945	1.0
3949	1.0
4091	1.0
4541	1.0
4676	1.0
4748	1.0
4973	1.0
5628	1.0
5946	1.0
6501	1.0
7209	1.0
8196	1.0
8326	1.0
8365	1.0
8508	1.0
9311	1.0
9710	1.0
8946	1.0
8651	1.0
8120	1.0
8080	0.1667
7867	1.0
7407	1.0
5295	1.0
5246	1.0
5090	1.0
5062	1.0
5061	1.0
5060	1.0
5050	1.0
5042	1.0
5041	1.0
5024	1.0
4966	1.0
4957	1.0
4956	1.0
4949	1.0
4948	1.0
4939	1.0
4931	1.0
4886	1.0
4885	1.0
4843	1.0
4813	1.0
4812	1.0
4801	0.5238
4713	1.0
4596	1.0
4530	1.0
4529	1.0
4528	1.0
4525	1.0
4468	1.0
4358	1.0
4344	1.0
4301	1.0
4233	1.0
4232	1.0
4199	1.0
4181	1.0
4179	1.0
4105	0.4444
4095	1.0
3974	1.0
3973	1.0
3953	1.0
3806	1.0
3783	1.0
3773	1.0
3772	1.0
3771	1.0
3762	0.1667
3751	1.0
3750	1.0
3673	1.0
3659	1.0
3616	1.0
3614	1.0
3591	1.0
3547	1.0
3546	1.0
3513	1.0
3495	1.0
3493	1.0
3419	0.0476
3409	1.0
3287	1.0
3282	1.0
3149	1.0
3095	1.0
3086	1.0
3082	1.0
3012	1.0
2817	1.0
2788	1.0
2787	1.0
2723	1.0
2656	1.0
2531	1.0
2523	1.0
2522	1.0
2513	0.1667
2507	0.0476
2189	1.0
2062	1.0
2054	1.0
2047	1.0
2020	1.0
1723	1.0
1598	1.0
1596	1.0
1581	1.0
1576	0.3333
1258	1.0
1133	1.0
1116	1.0
1097	1.0
1088	0.1667
903	1.0
804	1.0
793	1.0
39	1.0
25	1.0
81	1.0
358	1.0
444	1.0
964	1.0
1069	1.0
1126	1.0
1151	1.0
1219	1.0
1450	1.0
1477	1.0
2254	1.0
2807	1.0
2975	1.0
3889	1.0
3906	1.0
3910	1.0
4052	1.0
4502	1.0
4637	1.0
4709	1.0
4934	1.0
5589	1.0
5907	1.0
6462	1.0
7170	1.0
8157	1.0
8287	1.0
8326	1.0
8469	1.0
9272	1.0
9671	1.0
8985	1.0
8690	1.0
8159	1.0
8119	0.1667
7906	1.0
7446	1.0
5334	1.0
5285	1.0
5129	1.0
5101	1.0
5100	1.0
5099	1.0
5089	1.0
5081	1.0
5080	1.0
5063	1.0
5005	1.0
4996	1.0
4995	1.0
4988	1.0
4987	1.0
4978	1.0
4970	1.0
4925	1.0
4924	1.0
4882	1.0
4852	1.0
4851	1.0
4840	0.5238
4752	1.0
4635	1.0
4569	1.0
4568	1.0
4567	1.0
4564	1.0
4507	1.0
4397	1.0
4383	1.0
4340	1.0
4272	1.0
4271	1.0
4238	1.0
4220	1.0
4218	1.0
4144	0.4444
4134	1.0
4013	1.0
4012	1.0
3992	1.0
3845	1.0
3822	1.0
3812	1.0
3811	1.0
3810	1.0
3801	0.1667
3790	1.0
3789	1.0
3712	1.0
3698	1.0
3655	1.0
3653	1.0
3630	1.0
3586	1.0
3585	1.0
3552	1.0
3534	1.0
3532	1.0
3458	0.0476
3448	1.0
3326	1.0
3321	1.0
3188	1.0
3134	1.0
3125	1.0
3121	1.0
3051	1.0
2856	1.0
2827	1.0
2826	1.0
2762	1.0
2695	1.0
2570	1.0
2562	1.0
2561	1.0
2552	0.1667
2546	0.0476
2228	1.0
2101	1.0
2093	1.0
2086	1.0
2059	1.0
1762	1.0
1637	1.0
1635	1.0
1620	1.0
1615	0.3333
1297	1.0
1172	1.0
1155	1.0
1136	1.0
1127	0.1667
942	1.0
843	1.0
832	1.0
64	1.0
25	1.0
56	1.0
333	1.0
419	1.0
939	1.0
1044	1.0
1101	1.0
1126	1.0
1194	1.0
1425	1.0
1452	1.0
2229	1.0
2782	1.0
2950	1.0
3864	1.0
3881	1.0
3885	1.0
4027	1.0
4477	1.0
4612	1.0
4684	1.0
4909	1.0
5564	1.0
5882	1.0
6437	1.0
7145	1.0
8132	1.0
8262	1.0
8301	1.0
8444	1.0
9247	1.0
9646	1.0
9010	1.0
8715	1.0
8184	1.0
8144	0.1667
7931	1.0
7471	1.0
5359	1.0
5310	1.0
5154	1.0
5126	1.0
5125	1.0
5124	1.0
5114	1.0
5106	1.0
5105	1.0
5088	1.0
5030	1.0
5021	1.0
5020	1.0
5013	1.0
5012	1.0
5003	1.0
4995	1.0
4950	1.0
4949	1.0
4907	1.0
4877	1.0
4876	1.0
4865	0.5238
4777	1.0
4660	1.0
4594	1.0
4593	1.0
4592	1.0
4589	1.0
4532	1.0
4422	1.0
4408	1.0
4365	1.0
4297	1.0
4296	1.0
4263	1.0
4245	1.0
4243	1.0
4169	0.4444
4159	1.0
4038	1.0
4037	1.0
4017	1.0
3870	1.0
3847	1.0
3837	1.0
3836	1.0
3835	1.0
3826	0.1667
3815	1.0
3814	1.0
3737	1.0
3723	1.0
3680	1.0
3678	1.0
3655	1.0
3611	1.0
3610	1.0
3577	1.0
3559	1.0
3557	1.0
3483	0.0476
3473	1.0
3351	1.0
3346	1.0
3213	1.0
3159	1.0
3150	1.0
3146	1.0
3076	1.0
2881	1.0
2852	1.0
2851	1.0
2787	1.0
2720	1.0
2595	1.0
2587	1.0
2586	1.0
2577	0.1667
2571	0.0476
2253	1.0
2126	1.0
2118	1.0
2111	1.0
2084	1.0
1787	1.0
1662	1.0
1660	1.0
1645	1.0
1640	0.3333
1322	1.0
1197	1.0
1180	1.0
1161	1.0
1152	0.1667
967	1.0
868	1.0
857	1.0
120	1.0
81	1.0
56	1.0
277	1.0
363	1.0
883	1.0
988	1.0
1045	1.0
1070	1.0
1138	1.0
1369	1.0
1396	1.0
2173	1.0
2726	1.0
2894	1.0
3808	1.0
3825	1.0
3829	1.0
3971	1.0
4421	1.0
4556	1.0
4628	1.0
4853	1.0
5508	1.0
5826	1.0
6381	1.0
7089	1.0
8076	1.0
8206	1.0
8245	1.0
8388	1.0
9191	1.0
9590	1.0
9066	1.0
8771	1.0
8240	1.0
8200	0.1667
7987	1.0
7527	1.0
5415	1.0
5366	1.0
5210	1.0
5182	1.0
5181	1.0
5180	1.0
5170	1.0
5162	1.0
5161	1.0
5144	1.0
5086	1.0
5077	1.0
5076	1.0
5069	1.0
5068	1.0
5059	1.0
5051	1.0
5006	1.0
5005	1.0
4963	1.0
4933	1.0
4932	1.0
4921	0.5238
4833	1.0
4716	1.0
4650	1.0
4649	1.0
4648	1.0
4645	1.0
4588	1.0
4478	1.0
4464	1.0
4421	1.0
4353	1.0
4352	1.0
4319	1.0
4301	1.0
4299	1.0
4225	0.4444
4215	1.0
4094	1.0
4093	1.0
4073	1.0
3926	1.0
3903	1.0
3893	1.0
3892	1.0
3891	1.0
3882	0.1667
3871	1.0
3870	1.0
3793	1.0
3779	1.0
3736	1.0
3734	1.0
3711	1.0
3667	1.0
3666	1.0
3633	1.0
3615	1.0
3613	1.0
3539	0.0476
3529	1.0
3407	1.0
3402	1.0
3269	1.0
3215	1.0
3206	1.0
3202	1.0
3132	1.0
2937	1.0
2908	1.0
2907	1.0
2843	1.0
2776	1.0
2651	1.0
2643	1.0
2642	1.0
2633	0.1667
2627	0.0476
2309	1.0
2182	1.0
2174	1.0
2167	1.0
2140	1.0
1843	1.0
1718	1.0
1716	1.0
1701	1.0
1696	0.3333
1378	1.0
1253	1.0
1236	1.0
1217	1.0
1208	0.1667
1023	1.0
924	1.0
913	1.0
397	1.0
358	1.0
333	1.0
277	1.0
86	1.0
606	1.0
711	1.0
768	1.0
793	1.0
861	1.0
1092	1.0
1119	1.0
1896	1.0
2449	1.0
2617	1.0
3531	1.0
3548	1.0
3552	1.0
3694	1.0
4144	1.0
4279	1.0
4351	1.0
4576	1.0
5231	1.0
5549	1.0
6104	1.0
6812	1.0
7799	1.0
7929	1.0
7968	1.0
8111	1.0
8914	1.0
9313	1.0
9343	1.0
9048	1.0
8517	1.0
8477	0.1667
8264	1.0
7804	1.0
5692	1.0
5643	1.0
5487	1.0
5459	1.0
5458	1.0
5457	1.0
5447	1.0
5439	1.0
5438	1.0
5421	1.0
5363	1.0
5354	1.0
5353	1.0
5346	1.0
5345	1.0
5336	1.0
5328	1.0
5283	1.0
5282	1.0
5240	1.0
5210	1.0
5209	1.0
5198	0.5238
5110	1.0
4993	1.0
4927	1.0
4926	1.0
4925	1.0
4922	1.0
4865	1.0
4755	1.0
4741	1.0
4698	1.0
4630	1.0
4629	1.0
4596	1.0
4578	1.0
4576	1.0
4502	0.4444
4492	1.0
4371	1.0
4370	1.0
4350	1.0
4203	1.0
4180	1.0
4170	1.0
4169	1.0
4168	1.0
4159	0.1667
4148	1.0
4147	1.0
4070	1.0
4056	1.0
4013	1.0
4011	1.0
3988	1.0
3944	1.0
3943	1.0
3910	1.0
3892	1.0
3890	1.0
3816	0.0476
3806	1.0
3684	1.0
3679	1.0
3546	1.0
3492	1.0
3483	1.0
3479	1.0
3409	1.0
3214	1.0
3185	1.0
3184	1.0
3120	1.0
3053	1.0
2928	1.0
2920	1.0
2919	1.0
2910	0.1667
2904	0.0476
2586	1.0
2459	1.0
2451	1.0
2444	1.0
2417	1.0
2120	1.0
1995	1.0
1993	1.0
1978	1.0
1973	0.3333
1655	1.0
1530	1.0
1513	1.0
1494	1.0
1485	0.1667
1300	1.0
1201	1.0
1190	1.0
483	1.0
444	1.0
419	1.0
363	1.0
86	1.0
520	1.0
625	1.0
682	0.3333
707	1.0
775	1.0
1006	1.0
1033	1.0
1810	1.0
2363	1.0
2531	1.0
3445	1.0
3462	1.0
3466	1.0
3608	1.0
4058	1.0
4193	1.0
4265	1.0
4490	1.0
5145	1.0
5463	1.0
6018	1.0
6726	1.0
7713	1.0
7843	1.0
7882	1.0
8025	1.0
8828	1.0
9227	1.0
9429	1.0
9134	1.0
8603	1.0
8563	0.1667
8350	1.0
7890	1.0
5778	1.0
5729	1.0
5573	1.0
5545	1.0
5544	0.0476
5543	1.0
5533	1.0
5525	1.0
5524	1.0
5507	1.0
5449	1.0
5440	1.0
5439	0.4444
5432	1.0
5431	0.0476
5422	1.0
5414	0.4444
5369	1.0
5368	1.0
5326	1.0
5296	1.0
5295	1.0
5284	1.0
5196	1.0
5079	1.0
5013	1.0
5012	1.0
5011	1.0
5008	1.0
4951	1.0
4841	1.0
4827	1.0
4784	0.3333
4716	0.0476
4715	0.0476
4682	0.0476
4664	0.1667
4662	0.3333
4588	1.0
4578	1.0
4457	0.0476
4456	1.0
4436	0.0476
4289	1.0
4266	1.0
4256	1.0
4255	1.0
4254	1.0
4245	1.0
4234	1.0
4233	1.0
4156	1.0
4142	1.0
4099	1.0
4097	1.0
4074	1.0
4030	1.0
4029	1.0
3996	1.0
3978	0.1667
3976	0.1667
3902	1.0
3892	1.0
3770	1.0
3765	1.0
3632	0.5238
3578	0.1667
3569	0.4444
3565	0.1667
3495	1.0
3300	1.0
3271	1.0
3270	1.0
3206	1.0
3139	1.0
3014	1.0
3006	1.0
3005	1.0
2996	1.0
2990	1.0
2672	1.0
2545	1.0
2537	1.0
2530	0.0476
2503	0.5238
2206	1.0
2081	0.1667
2079	0.1667
2064	1.0
2059	1.0
1741	1.0
1616	1.0
1599	1.0
1580	0.1667
1571	0.1667
1386	1.0
1287	1.0
1276	1.0
1003	1.0
964	1.0
939	1.0
883	1.0
606	1.0
520	1.0
105	1.0
162	1.0
187	1.0
255	1.0
486	1.0
513	1.0
1290	1.0
1843	1.0
2011	1.0
2925	1.0
2942	1.0
2946	1.0
3088	1.0
3538	1.0
3673	1.0
3745	1.0
3970	1.0
4625	1.0
4943	1.0
5498	1.0
6206	1.0
7193	1.0
7323	1.0
7362	1.0
7505	1.0
8308	1.0
8707	1.0
9583	1.0
9654	1.0
9123	1.0
9083	0.1667
8870	1.0
8410	1.0
6298	1.0
6249	1.0
6093	1.0
6065	1.0
6064	1.0
6063	1.0
6053	1.0
6045	1.0
6044	1.0
6027	1.0
5969	1.0
5960	1.0
5959	1.0
5952	1.0
5951	1.0
5942	1.0
5934	1.0
5889	1.0
5888	1.0
5846	1.0
5816	1.0
5815	1.0
5804	0.5238
5716	1.0
5599	1.0
5533	1.0
5532	1.0
5531	1.0
5528	1.0
5471	1.0
5361	1.0
5347	1.0
5304	1.0
5236	1.0
5235	1.0
5202	1.0
5184	1.0
5182	1.0
5108	0.4444
5098	1.0
4977	1.0
4976	1.0
4956	1.0
4809	1.0
4786	1.0
4776	1.0
4775	1.0
4774	1.0
4765	0.1667
4754	1.0
4753	1.0
4676	1.0
4662	1.0
4619	1.0
4617	1.0
4594	1.0
4550	1.0
4549	1.0
4516	1.0
4498	1.0
4496	1.0
4422	0.0476
4412	1.0
4290	1.0
4285	1.0
4152	1.0
4098	1.0
4089	1.0
4085	1.0
4015	1.0
3820	1.0
3791	1.0
3790	1.0
3726	1.0
3659	1.0
3534	1.0
3526	1.0
3525	1.0
3516	0.1667
3510	0.0476
3192	1.0
3065	1.0
3057	1.0
3050	1.0
3023	1.0
2726	1.0
2601	1.0
2599	1.0
2584	1.0
2579	0.3333
2261	1.0
2136	1.0
2119	1.0
2100	1.0
2091	0.1667
1906	1.0
1807	1.0
1796	1.0
1108	1.0
1069	1.0
1044	1.0
988	1.0
711	1.0
625	1.0
105	1.0
57	1.0
82	1.0
150	1.0
381	1.0
408	1.0
1185	1.0
1738	1.0
1906	1.0
2820	1.0
2837	1.0
2841	1.0
2983	1.0
3433	1.0
3568	1.0
3640	1.0
3865	1.0
4520	1.0
4838	1.0
5393	1.0
6101	1.0
7088	1.0
7218	1.0
7257	1.0
7400	1.0
8203	1.0
8602	1.0
9478	1.0
9759	1.0
9228	1.0
9188	0.1667
8975	1.0
8515	1.0
6403	1.0
6354	1.0
6198	1.0
6170	1.0
6169	1.0
6168	1.0
6158	1.0
6150	1.0
6149	1.0
6132	1.0
6074	1.0
6065	1.0
6064	1.0
6057	1.0
6056	1.0
6047	1.0
6039	1.0
5994	1.0
5993	1.0
5951	1.0
5921	1.0
5920	1.0
5909	0.5238
5821	1.0
5704	1.0
5638	1.0
5637	1.0
5636	1.0
5633	1.0
5576	1.0
5466	1.0
5452	1.0
5409	1.0
5341	1.0
5340	1.0
5307	1.0
5289	1.0
5287	1.0
5213	0.4444
5203	1.0
5082	1.0
5081	1.0
5061	1.0
4914	1.0
4891	1.0
4881	1.0
4880	1.0
4879	1.0
4870	0.1667
4859	1.0
4858	1.0
4781	1.0
4767	1.0
4724	1.0
4722	1.0
4699	1.0
4655	1.0
4654	1.0
4621	1.0
4603	1.0
4601	1.0
4527	0.0476
4517	1.0
4395	1.0
4390	1.0
4257	1.0
4203	1.0
4194	1.0
4190	1.0
4120	1.0
3925	1.0
3896	1.0
3895	1.0
3831	1.0
3764	1.0
3639	1.0
3631	1.0
3630	1.0
3621	0.1667
